class,feature,mean,median,max
Q1,f0,169.229 - 682.105,132.501 - 806.396,1050.0 - 1050.0
Q1,plp,0.097 - 0.277,0.0 - 0.033,1.0 - 1.0
Q1,power,-14.589 - 13.717,-27.868,22.041 - 39.348
Q1,rms,0.031 - 0.332,0.026 - 0.341,0.126 - 0.77
Q1,spect_centroid,373.015 - 1814.521,368.615 - 1773.51,1079.09 - 7653.906
Q1,spect_rolloff,660.864 - 3903.849,592.163 - 4080.542,2099.487 - 9420.776
Q1,spect_flat,0.0 - 0.063,0.0 - 0.0,1.0 - 1.0
Q1,spect_bw,393.436 - 1786.716,393.844 - 1843.467,964.397 - 3193.479
Q1,spect_contrast,13.649 - 24.859,13.254 - 24.4,30.232 - 80.112
Q1,tempo,89.103 - 172.266,89.103 - 172.266,89.103 - 172.266
Q1,zcr,0.017 - 0.105,0.011 - 0.101,0.081 - 0.444
Q2,f0,178.455 - 878.958,130.473 - 1050.0,1050.0 - 1050.0
Q2,plp,0.044 - 0.28,0.0 - 0.013,1.0 - 1.0
Q2,power,-25.147,0.699 - 22.839,15.578 - 39.126
Q2,rms,0.022 - 0.399,0.021 - 0.43,0.058 - 0.689
Q2,spect_centroid,434.031 - 1994.109,379.542 - 1996.843,1561.807 - 7621.4
Q2,spect_rolloff,795.336 - 4479.259,742.895 - 4737.305,3445.312 - 8839.38
Q2,spect_flat,0.0 - 0.012,0.0 - 0.0,1.0 - 1.0
Q2,spect_bw,515.302 - 2015.781,491.474 - 2096.548,1312.649 - 3136.144
Q2,spect_contrast,13.157 - 23.633,12.539 - 23.155,28.647 - 75.024
Q2,tempo,89.103 - 191.406,89.103 - 191.406,89.103 - 191.406
Q2,zcr,0.023 - 0.134,0.017 - 0.13,0.077 - 0.443
Q3,f0,136.67 - 582.762,130.473 - 615.892,1050.0 - 1050.0
Q3,plp,0.098 - 0.264,0.0 - 0.04,1.0 - 1.0
Q3,power,-25.834,-27.117,16.806 - 38.551
Q3,rms,0.016 - 0.28,0.008 - 0.294,0.083 - 0.7
Q3,spect_centroid,315.243 - 1722.115,271.812 - 1675.192,1363.449 - 7693.994
Q3,spect_rolloff,500.531 - 3800.328,398.364 - 4037.476,3100.781 - 9087.012
Q3,spect_flat,0.0 - 0.014,0.0 - 0.0,0.517 - 1.0
Q3,spect_bw,291.586 - 1611.415,267.225 - 1643.87,1039.565 - 3255.02
Q3,spect_contrast,14.069 - 27.424,13.507 - 26.879,30.189 - 74.587
Q3,tempo,87.593 - 172.266,87.593 - 172.266,87.593 - 172.266
Q3,zcr,0.015 - 0.114,0.012 - 0.114,0.047 - 0.555
Q4,f0,151.714 - 567.331,130.473 - 486.91,1050.0 - 1050.0
Q4,plp,0.076 - 0.28,0.0 - 0.016,1.0 - 1.0
Q4,power,-32.686,-40.637,14.559 - 39.492
Q4,rms,0.017 - 0.243,0.017 - 0.235,0.048 - 0.75
Q4,spect_centroid,186.474 - 1924.253,183.155 - 2221.394,1051.875 - 7635.677
Q4,spect_rolloff,259.488 - 3796.873,258.398 - 4586.572,2487.085 - 9076.245
Q4,spect_flat,0.001 - 0.007,0.0 - 0.0,1.0 - 1.0
Q4,spect_bw,196.51 - 1722.461,190.308 - 1942.784,1177.24 - 3385.334
Q4,spect_contrast,13.35 - 29.262,12.951 - 28.871,29.103 - 76.601
Q4,tempo,82.031 - 184.57,82.031 - 184.57,82.031 - 184.57
Q4,zcr,0.01 - 0.107,0.007 - 0.098,0.047 - 0.438
